window_start,site_ID,ion,concentration
1988-01-01,BQ1,NH4N_ugL,27.533333333333335
1988-01-01,BQ1,Ca_mgL,3.42
1988-01-01,BQ1,Mg_mgL,2.1926666666666668
1988-01-01,BQ1,NO3N_ugL,155.06666666666666
1988-01-01,BQ1,K_mgL,0.8066666666666666
1988-03-04,BQ1,NH4N_ugL,22.125
1988-03-04,BQ1,Ca_mgL,3.084375
1988-03-04,BQ1,Mg_mgL,1.976875
1988-03-04,BQ1,NO3N_ugL,207.8125
1988-03-04,BQ1,K_mgL,0.89
1988-05-06,BQ1,NH4N_ugL,90.625
1988-05-06,BQ1,Ca_mgL,2.9850000000000003
1988-05-06,BQ1,Mg_mgL,2.183
1988-05-06,BQ1,NO3N_ugL,157.5
1988-05-06,BQ1,K_mgL,0.8811111111111111
1988-07-08,BQ1,NH4N_ugL,15.5
1988-07-08,BQ1,Ca_mgL,2.686923076923077
1988-07-08,BQ1,Mg_mgL,1.9523076923076923
1988-07-08,BQ1,NO3N_ugL,63
1988-07-08,BQ1,K_mgL,0.7607692307692308
1988-09-09,BQ1,NH4N_ugL,50.25
1988-09-09,BQ1,Ca_mgL,3.665
1988-09-09,BQ1,Mg_mgL,2.43875
1988-09-09,BQ1,NO3N_ugL,140.55555555555554
1988-09-09,BQ1,K_mgL,0.7925
1988-11-11,BQ1,NH4N_ugL,NA
1988-11-11,BQ1,Ca_mgL,4.15125
1988-11-11,BQ1,Mg_mgL,2.3722222222222222
1988-11-11,BQ1,NO3N_ugL,153.625
1988-11-11,BQ1,K_mgL,0.8444444444444444
1989-01-13,BQ1,NH4N_ugL,NA
1989-01-13,BQ1,Ca_mgL,4.293333333333333
1989-01-13,BQ1,Mg_mgL,2.783333333333333
1989-01-13,BQ1,NO3N_ugL,130.11111111111111
1989-01-13,BQ1,K_mgL,0.9088888888888889
1989-03-17,BQ1,NH4N_ugL,NA
1989-03-17,BQ1,Ca_mgL,4.444444444444445
1989-03-17,BQ1,Mg_mgL,2.738888888888889
1989-03-17,BQ1,NO3N_ugL,141.88888888888889
1989-03-17,BQ1,K_mgL,0.8544444444444445
1989-05-19,BQ1,NH4N_ugL,NA
1989-05-19,BQ1,Ca_mgL,4.5344444444444445
1989-05-19,BQ1,Mg_mgL,2.901111111111111
1989-05-19,BQ1,NO3N_ugL,123
1989-05-19,BQ1,K_mgL,0.9477777777777777
1989-07-21,BQ1,NH4N_ugL,NA
1989-07-21,BQ1,Ca_mgL,4.0625
1989-07-21,BQ1,Mg_mgL,2.6675
1989-07-21,BQ1,NO3N_ugL,99.57142857142857
1989-07-21,BQ1,K_mgL,0.9275
1989-09-22,BQ1,NH4N_ugL,NA
